Tim thay 66 nhom:

STT   GROUP ID                  TEN NHOM
----------------------------------------------------------------------
1     4830801478247237475       CSQCT- 2026
2     3760988089221811032       Hội Giang Hồ🥷🏻
3     2102811401076915527       ae mâm 1
4     6600281919855316465       MIZI SHARE REGEDIT 🔥
5     3607868574282329464       Tech Junior - Bé học lập trình
6     4788668346584184861       Motor Hoàng Phúc ☘️☘️
7     2969050457753424733       Học viện Kỹ thuật quân sự (MTA)
8     650554700295143534        [ NHÓM BẢO HÀNH SỐ 15] - TMedia 083 888 9821
9     8729184399061472077       mất vệ sinh
10    4882449520194981032       Liên Chi đoàn c160
11    1900832150512923912       Khoá 13 - 2006 Chinh Phục Toán 8+ Cùng SNN
12    757659193024284650        Trực Tết Ca 2
13    6506275800161885731       Ngôn Ngữ Lập Trình K60
14    131310485240208827        Legend Team COC
15    6149074150185668156       Hội thi pháp luật
16    8008630255286601037       CTV Khoá Học Drive
17    3807566525425315262       12A1-K60
18    7903073350549032644       P517
19    1359129387383242933       tuyển sinh quân sự
20    4531783766388626573       MTA GỬI ĐỒ VÀ NHẬN ĐỒ SHIP HỌC VIÊN ( NHUNGKUTE)
21    7933046790612711294       KHO VŨ KHÍ XIN CHÀOO
22    8965390685392705794       học lậu 2024:))
23    1975016318048730369       HỖ TRỢ KHÓA SINH VIÊN
24    549914542480468168        TGH - 2026
25    8964687522398706177       Đảng viên là HS 2024
26    385539685185475120        NCKH_Image Stitching
27    301181987108529223        Bùi Nam Đông, Tu Nguyen, Vũ Minh Hiệp
28    8191278339013530308       Toán Rời Rạc 160
29    7581350774511161695       Hỗ trợ học tập - Gr mới nhất
30    6859788048357712731       Bùi Nam Đông, Yến Nhii, Trịnh Lực
31    3435859023894777799       P209 Anonimous Organaireision
32    994231594226995109        LTHDH-Hệ Điều Hành K60
33    8358900175194487401       TTQS_C160
34    5047111915424825955       Đảng viên HVc160
35    572954564192041626        C2B5A5
36    2862794002561209299       Gậy thông minh :D
37    4448729460616236756       Chi bộ c160
38    5607334073914200760       Fc Hạnh đẹp trai
39    2547374341624362803       Đông, Trịnh Phát Đạt, Quyền Lực
40    6329914915286319537       Nguồn Phòng CCMN giá sv
41    5349800419089644119       Nhóm Hóa 12A1 ra trường
42    6188745230406760843       Những đứa con của Trịnh Ngoan
43    8681475148682923027       TOCOTOCO 101C Nguyên Hồng- 0846712624
44    6372264149354985479       Mai Đinh, Bùi Phượng, Đức Duy, Bùi Ánh Tuyết
45    2794226096949882798       HN đoàn
46    3161710017447118217       a8b15c5
47    3774787735035762699       Xe máy Hoàng Phúc 2️⃣0️⃣2️⃣4️⃣☘️☘️
48    2742025925095630180       :))))
49    5837618642581118058       chi đoàn TTNT
50    4537576115309496465       Trúng tuyển sớm Học viện KTQS
51    3622921788626369326       N13- 2K9 XPS Quyết Tâm Bứt Tốc 9+ Tiếng Anh
52    8358528321617298070       Khoá 11 - 2006 Chinh Phục Toán 8+ Cùng SNN
53    5519016077379753470       NCKH-TTNT60-Minh, Đông, Huy, Dương
54    7393055864482558448       Lớp TTNT-K60
55    5711124272395812904       KTLT-K60
56    2569892205323454403       iHaNoi C160
57    4138305076058970375       Nhungdtt, Liên Lã Thi, Nguyễn Thùy Linh, Mai Đinh
58    1953624056909433205       TÀI LIỆU ÔN THI THPT 2026
59    7470467031135143365       214
60    5523095597225994188       Chia sẻ chi tiết về Google One
61    4902995816902738019       Nhóm LTHĐT
62    1585725720475638120       202605_Dự án KTLT_TTNT_K60
63    7443839881470059556       Nam TTNT
64    4417336854713990692       Báo tường Tết
65    2110946990059018274       02. Cùng ôn thi ĐGNL-ĐGTD cùng 2k7 🍀
66    1792039711438063799       2023- Lớp 12- Nhóm 3 Toán Thầy Phan
